"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"18018",50351,NA,0.407194191175063,0.726743103951056,0.142433977506092,NA,-1.82061177512212,NA,-3.75349962983346,-0.382090160494137,-0.13548306808118,NA,0.0518691527029188,0.51473917848999,-0.484226223872097,-0.364836340037722,0.724656951315092,-1.40031190976552,-0.522866954178344
"18061",50352,NA,0.303644270516028,0.23341030199859,-0.474591520288156,0.102748671548749,1.06226831539784,0.875725982503108,-0.00923610461380896,-0.672639878808247,NA,NA,NA,NA,0.664078655723214,0.626970797536576,NA,NA,NA
"18104",50353,NA,0.407194191175063,-1.81039702037592,0.142433977506092,-0.227758796525649,-0.859651744948801,-0.495325006433083,-0.403369107268509,-0.672639878808247,-1.68577825275996,-0.103609209090191,-0.39255126198422,-0.117190307358751,0.153720931458631,0.626970797536576,0.338345904645474,0.658344863156919,-0.522866954178344
"18147",50357,NA,0.717843953152167,0.444838645692504,-0.474591520288156,NA,NA,NA,-1.38870161390526,NA,NA,NA,NA,NA,0.281310362524777,NA,NA,NA,NA
"18190",50359,NA,-0.11055541212011,-1.31706421842345,2.61053596868308,NA,-1.90417351687632,-2.59760318946857,0.779029900695592,1.07065843107642,NA,NA,-4.24419485593942,NA,0.536489224657068,0.230247942506857,-1.85075002648236,NA,NA
"18233",50360,NA,-0.731854936074318,0.726743103951056,-0.474591520288156,0.102748671548749,0.978706573643639,0.875725982503108,NA,-0.672639878808247,0.673366593490359,NA,0.496289567390057,0.641125075659739,0.153720931458631,0.031886514991997,0.853427300204965,-2.61679091194696,NA
"18276",50367,NA,0.200094349856994,0.58579087482178,1.37648497309459,0.157833249561148,NA,NA,-0.403369107268509,-0.672639878808247,-0.472503760402654,-0.103609209090191,0.348149429161011,0.767510972829487,0.664078655723214,0.230247942506857,0.724656951315092,0.471194247436697,-0.522866954178344
"18319",50373,NA,0.510744111834098,-1.45801644755272,1.99351047088884,NA,NA,NA,NA,3.85412473252559,NA,-0.103609209090191,0.0518691527029188,-1.38104927905623,-0.229047361739806,-0.166474912522863,-0.176735490914016,-0.0902575997239675,4.58874127515626
"18362",50376,NA,-3.94190247650439,-0.400874729083153,3.22756146647733,NA,NA,-0.860938603482733,NA,2.52340702264697,NA,-0.461827595675557,0.348149429161011,-1.88659286773523,-2.01529939666585,-0.563197767552582,0.724656951315092,-0.0902575997239675,-0.522866954178344
"18405",50378,NA,-4.14900231782246,-0.823731416470982,1.37648497309459,NA,NA,NA,NA,1.07065843107642,NA,NA,-0.540691400213266,NA,-3.2911937073273,-2.34845061518632,NA,NA,NA
"18448",50380,-0.475831629985881,0.717843953152167,-0.89420753103562,-1.0916170180824,NA,1.06226831539784,NA,NA,-0.672639878808247,0.673366593490359,NA,0.348149429161011,0.641125075659739,0.79166808678936,0.626970797536576,0.724656951315092,0.658344863156919,0.863895994637338
"18491",50382,NA,-1.04250469805142,-1.88087313494055,1.37648497309459,-0.0625050624884498,0.14308915610162,-0.221114808645844,0.384896898040892,0.489558994448195,NA,NA,-0.0962709855261274,0.261967384150494,-0.484226223872097,0.230247942506857,-2.36583142204185,0.284043631716476,-0.522866954178344
"18534",50390,NA,-1.66380422200563,-2.44468205145766,1.37648497309459,NA,NA,NA,-0.206302605941159,0.199009276134084,NA,0.254609177495175,-2.02209278250373,-3.02406594226296,-2.78083598306272,-2.34845061518632,-3.78230525983045,-0.0902575997239675,2.25065894345302
"18577",50393,NA,0.614294032493132,-0.541826958212429,1.99351047088884,NA,0.0177465434703177,0.510112385453457,0.384896898040892,0.489558994448195,NA,NA,-0.540691400213266,0.388353281320242,0.408899793590923,0.626970797536576,0.467116253535347,0.377618939576587,NA
"18620",50394,NA,-0.524755094756249,-0.612303072777068,0.142433977506092,-0.668435420624845,0.10130828522452,-0.175413109014638,NA,0.199009276134084,-0.13548306808118,0.612827564080541,0.0518691527029188,-0.496347998867996,-0.10145793067366,-1.55500490512688,-0.563046537583634,-1.49388721762563,-0.522866954178344
"18663",50396,NA,0.510744111834098,0.303886416563228,-0.474591520288156,NA,0.686240477503932,0.144498788403806,NA,-0.0915404421800261,-0.13548306808118,0.254609177495175,-0.244411123755174,0.009195589810997,0.281310362524777,0.230247942506857,-0.0479651420241438,0.658344863156919,-0.522866954178344
"18706",50397,NA,-0.524755094756249,0.726743103951056,-0.474591520288156,NA,NA,NA,-1.58576811523261,NA,NA,NA,NA,NA,-3.2911937073273,NA,NA,NA,NA
"18749",50407,NA,-0.835404856733353,-0.753255301906344,-0.474591520288156,NA,-0.692528261440398,-1.77497259610686,NA,NA,NA,0.612827564080541,-1.87395264427468,-2.26575055924447,0.281310362524777,0.626970797536576,NA,NA,NA
"18792",50411,NA,0.614294032493132,0.726743103951056,NA,NA,NA,NA,NA,-0.672639878808247,NA,0.612827564080541,0.496289567390057,0.641125075659739,0.664078655723214,0.626970797536576,0.338345904645474,0.564769555296808,-0.522866954178344
