"","Provider.ID","Hospital.overall.rating"
"681",63301,"Not Available"
"682",70002,"3"
"683",70003,"3"
"684",70004,"3"
"685",70005,"2"
"686",70006,"3"
"687",70007,"3"
"688",70008,"3"
"689",70010,"2"
"690",70011,"2"
"691",70012,"3"
"692",70016,"3"
"693",70017,"3"
"694",70018,"3"
"695",70019,"3"
"696",70020,"3"
"697",70021,"3"
"698",70022,"3"
"699",70024,"4"
"700",70025,"2"
"701",70027,"2"
"702",70028,"2"
"703",70029,"3"
"704",70031,"2"
"705",70033,"1"
"706",70034,"3"
"707",70035,"2"
"708",70036,"3"
"709",70038,"Not Available"
"710",70039,"3"
"711",70040,"Not Available"
"712",73300,"Not Available"
"713",80001,"4"
"714",80003,"4"
"715",80004,"3"
"716",80006,"4"
"717",80007,"3"
"718",80009,"4"
"719",83300,"Not Available"
"720",90001,"1"
"721",90003,"1"
"722",90004,"1"
"723",90005,"3"
"724",90006,"1"
"725",90008,"1"
"726",90011,"2"
"727",93300,"Not Available"
"728",100001,"1"
"729",100002,"3"
"730",100006,"3"
"731",100007,"2"
"732",100008,"4"
"733",100009,"1"
"734",100012,"2"
"735",100014,"2"
"736",100017,"2"
"737",100018,"3"
"738",100019,"3"
"739",100022,"1"
"740",100023,"2"
"741",100025,"3"
"742",100026,"4"
"743",100028,"4"
"744",100029,"1"
"745",100030,"3"
"746",100032,"2"
"747",100034,"3"
"748",100035,"2"
"749",100038,"3"
"750",100039,"2"
"751",100040,"3"
"752",100043,"4"
"753",100044,"2"
"754",100045,"3"
"755",100046,"3"
"756",100047,"2"
"757",100048,"3"
"758",100049,"2"
"759",100050,"3"
"760",100051,"2"
"761",100052,"2"
"762",100053,"3"
"763",100054,"4"
"764",100055,"3"
"765",100057,"3"
"766",100062,"2"
"767",100063,"3"
"768",100067,"2"
"769",100068,"4"
"770",100069,"3"
"771",100070,"3"
"772",100071,"1"
"773",100072,"2"
"774",100073,"2"
"775",100075,"3"
"776",100077,"2"
"777",100080,"2"
"778",100081,"3"
"779",100084,"2"
"780",100086,"2"
"781",100087,"5"
"782",100088,"3"
"783",100090,"3"
"784",100092,"2"
"785",100093,"3"
"786",100099,"2"
"787",100102,"3"
"788",100105,"2"
"789",100106,"3"
"790",100107,"2"
"791",100109,"3"
"792",100110,"2"
"793",100113,"2"
"794",100117,"4"
"795",100118,"2"
"796",100121,"3"
"797",100122,"3"
"798",100124,"3"
"799",100125,"3"
"800",100126,"2"
"801",100127,"3"
"802",100128,"2"
"803",100130,"3"
"804",100131,"3"
"805",100132,"3"
"806",100134,"Not Available"
"807",100135,"3"
"808",100137,"2"
"809",100140,"3"
"810",100142,"3"
"811",100150,"1"
"812",100151,"4"
"813",100154,"3"
"814",100156,"3"
"815",100157,"2"
"816",100161,"2"
"817",100166,"3"
"818",100167,"3"
"819",100168,"2"
"820",100173,"2"
"821",100175,"3"
"822",100176,"3"
"823",100177,"4"
"824",100179,"3"
"825",100180,"3"
"826",100181,"3"
"827",100183,"3"
"828",100187,"3"
"829",100189,"2"
"830",100191,"3"
"831",100200,"3"
"832",100204,"3"
"833",100206,"2"
"834",100209,"3"
"835",100211,"2"
"836",100212,"2"
"837",100213,"2"
"838",100217,"3"
"839",100220,"2"
"840",100223,"3"
"841",100224,"2"
"842",100226,"3"
"843",100228,"2"
"844",100230,"3"
"845",100231,"3"
"846",100232,"2"
"847",100234,"2"
"848",100236,"3"
"849",100238,"2"
"850",100240,"Not Available"
"851",100242,"3"
"852",100243,"3"
"853",100244,"2"
"854",100246,"2"
"855",100248,"2"
"856",100249,"2"
"857",100252,"3"
"858",100253,"4"
"859",100254,"2"
"860",100255,"2"
"861",100256,"2"
"862",100258,"2"
"863",100259,"1"
"864",100260,"2"
"865",100264,"3"
"866",100265,"4"
"867",100266,"4"
"868",100267,"4"
"869",100268,"2"
"870",100269,"3"
"871",100275,"2"
"872",100276,"2"
"873",100277,"Not Available"
"874",100281,"3"
"875",100284,"2"
"876",100285,"4"
"877",100286,"2"
"878",100287,"2"
"879",100288,"1"
"880",100289,"3"
"881",100290,"3"
"882",100291,"2"
"883",100292,"4"
"884",100296,"3"
"885",100298,"Not Available"
"886",100299,"3"
"887",100302,"2"
"888",100307,"3"
"889",100313,"4"
"890",100314,"4"
"891",100315,"4"
"892",100316,"4"
"893",100319,"4"
"894",100320,"2"
"895",100321,"3"
"896",100322,"Not Available"
"897",100326,"Not Available"
"898",101300,"3"
"899",101301,"3"
"900",101302,"Not Available"
"901",101303,"Not Available"
"902",101304,"Not Available"
"903",101305,"Not Available"
"904",101307,"Not Available"
"905",101308,"Not Available"
"906",101309,"3"
"907",101310,"3"
"908",101311,"Not Available"
"909",101312,"3"
"910",101313,"4"
"911",103300,"Not Available"
"912",103301,"Not Available"
"913",103303,"Not Available"
"914",103304,"Not Available"
"915",110001,"4"
"916",110002,"3"
"917",110003,"3"
"918",110004,"3"
"919",110005,"3"
"920",20024,"3"
"921",21301,"Not Available"
"922",21302,"Not Available"
"923",21304,"Not Available"
"924",21305,"Not Available"
"925",21307,"Not Available"
"926",21312,"Not Available"
"927",21313,"Not Available"
"928",110006,"4"
"929",110007,"1"
"930",110008,"3"
"931",110010,"4"
"932",110011,"3"
"933",110015,"3"
"934",110016,"4"
"935",110018,"2"
"936",110023,"5"
"937",110024,"3"
"938",110025,"2"
"939",110026,"4"
"940",110027,"3"
"941",110028,"4"
"942",110029,"3"
"943",110030,"4"
"944",110031,"3"
"945",110032,"3"
"946",110034,"1"
"947",110035,"3"
"948",110036,"2"
"949",110038,"3"
"950",110039,"2"
"951",110040,"2"
"952",110041,"3"
"953",110042,"3"
"954",110043,"2"
"955",110044,"3"
"956",110045,"3"
"957",110046,"2"
"958",110050,"3"
"959",110051,"3"
"960",110054,"3"
"961",110064,"2"
"962",110069,"4"
"963",110071,"3"
"964",110073,"3"
"965",110074,"3"
"966",110075,"2"
"967",110076,"2"
"968",110078,"3"
"969",110079,"1"
"970",110082,"3"
"971",110083,"3"
"972",110086,"3"
"973",110087,"4"
"974",110089,"3"
"975",110091,"2"
"976",110092,"3"
"977",110095,"3"
"978",110100,"3"
"979",110101,"3"
"980",110104,"3"
"981",110105,"3"
"982",110107,"2"
"983",110109,"3"
"984",110111,"3"
"985",110113,"Not Available"
"986",110115,"1"
"987",110121,"4"
"988",110122,"3"
"989",110124,"3"
"990",110125,"4"
"991",110128,"3"
"992",110129,"3"
"993",110130,"3"
"994",110132,"3"
"995",110135,"3"
"996",110142,"4"
"997",110143,"2"
"998",110146,"3"
